title,description,subcategories,resource_type,target_url,open_in_new_tab,image_url,release_date,is_public,allowed_role_ids,tags,author_id,author_name,folder_id,status,id,created_date,updated_date,created_by_id,created_by,is_sample
EDI in Careers: Creating Inclusive Services,"Comprehensive guide on embedding equality, diversity, and inclusion across all aspects of career service delivery. ","[""Established""]",download,https://example.com/guides/edi-careers.pdf,true,,2025-11-18T11:35:31.899Z,true,"[]","[""EDI"",""inclusion"",""diversity"",""social mobility""]",,,,active,690e667ac46bbfa169186fe0,2025-11-07T21:36:58.092000,2025-11-18T12:25:20.616000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Generative AI and graduate recruitment,"Jamie Betts, Co-Founder of Neurosight, talks about how leading employers are responding to candidate use of AI – essential insights for student jobseekers","[""AI & Technology""]",video,https://player.vimeo.com/video/962216425,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/f40069634_1-GenerativeAIandGraduateRecruitment.png,2025-06-11T10:25:00.000Z,true,"[]","[]",,,,draft,691c58aa0c9a28734bd9ff93,2025-11-18T11:29:46.770000,2025-11-18T11:59:24.103000,anonymous,anonymous,false
Student workers in member services 2024/25 report,"This report presents findings from AGCAS’s 2024/25 survey of heads of service, exploring how higher education careers services employ student workers, their roles, training, and the benefits and challenges.","[""Data & Insights"",""Student Workers"",""Research"",""Everyone""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/9f6d13bab_StudentWorkers24-25finalreport.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/3b9b9bf8a_48StudentWorkersinMemberServices2024_25.png,2025-01-01T11:58:00.000Z,false,"[]","[]",,,,active,691c61b731f83d860a86b43f,2025-11-18T12:08:23.458000,2025-11-19T17:06:50.917000,anonymous,anonymous,false
Rethinking work-related learning strategies,"Presentation slides from the parallel session on accessible, scalable and tailored solutions for rethinking work-related learning strategies presented by Andrew Wright, King’s College London and Jane Hallett, Practera UK. ","[""Leadership & Management"",""Placements/Internships/Work-based Learning"",""Leadership Conference"",""Heads of Service/Member lead""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/07e36c645_Rethinkingwork-relatedlearningstrategies.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/7b9048eab_2and3RethinkingWork-relatedlearningstrategies.png,2024-01-01T11:37:00.000Z,false,"[]","[]",,,,active,691dac81af06c8249149b0ed,2025-11-19T11:39:45.408000,2025-11-19T15:55:37.343000,anonymous,anonymous,false
Rethinking work-related learning strategies,"Andrew Wright, King’s College London and Jane Hallett, Practera UK discuss accessible, scalable and tailored solutions for rethinking work-related learning strategies.","[""Leadership & Management"",""Placements/Internships/Work-based Learning"",""Leadership Conference"",""Heads of Service/Member lead""]",video,https://player.vimeo.com/video/902344794,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/7b9048eab_2and3RethinkingWork-relatedlearningstrategies.png,2024-01-01T15:05:00.000Z,false,"[]","[]",,,,active,691dded30366c9b1fccf0d21,2025-11-19T15:14:27.831000,2025-11-19T15:54:24.297000,anonymous,anonymous,false
After the general election,"Diana Beech, CEO, London Higher and Debbie McVitty, Editor, Wonkhe deliver a keynote presentation on what may happen after the 2025 general election.","[""Leadership & Management""]",video,https://player.vimeo.com/video/902333109,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/cbb9db5d9_4Afterthegeneralelection.png,2024-01-01T15:28:00.000Z,false,"[]","[]",,,,active,691de2be7053a548095813d8,2025-11-19T15:31:10.040000,2025-11-24T10:34:00.992000,anonymous,anonymous,false
Benchmarking British university careers services,"Presentation slides from the keynote presentation on the AGCAS Member Services 2023/24 Resources Survey findings and recommendations presented by Claire Toogood, Research and Insights Manager, AGCAS.","[""Careers Information and Advice and Guidance"",""Data & Insights"",""Leadership & Management"",""Leadership Conference"",""Heads of Service/Member lead""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/7babc6718_5BenchmarkingBritishuniversitycareersservices.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/0091f0550_5BenchmarkingBritishuniversitycareersservices.png,2024-01-19T15:25:00.000Z,false,"[]","[]",,,,active,691de38a1ecc31680d574cc8,2025-11-19T15:34:34.708000,2025-11-19T15:58:29.850000,anonymous,anonymous,false
"AGCAS Phoenix, May 2025: Integrated employability","In this issue of Phoenix, we profile in-curriculum initiatives which are having a tremendous impact on student and graduate outcomes. ","[""Careers Education"",""Curriculum"",""Skills Development"",""Phoenix journal"",""Everyone""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/98f57cb0e_PhoenixMay2025-IntegratedEmployability.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/546e24abe_Phoenixheader.png,2025-05-01T14:43:00.000Z,true,"[]","[]",,,,active,691de6eaf92c7805e5d06b54,2025-11-19T15:48:58.950000,2025-11-19T15:48:58.950000,anonymous,anonymous,false
"AGCAS Phoenix, July 2024: The contemporary careers professional","Careers work has exceeded traditional ideas of advice and guidance for many years now, and through this issue we demonstrate a variety of impactful projects across the sector.","[""Curriculum"",""Information & Operations"",""Managing your own career"",""Phoenix journal"",""Everyone""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/deb5368d5_15-PhoenixIssue171July2024Thecontemporarycareersprofessional.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/546e24abe_Phoenixheader.png,2024-07-17T14:50:00.000Z,true,"[]","[]",,,,active,691de85b64a5d7e8495115fa,2025-11-19T15:55:07.616000,2025-11-19T15:55:07.616000,anonymous,anonymous,false
"AGCAS Phoenix, March 2024: Social Mobility","Read about award-winning programmes targeting specific student groups, social mobility projects embedded in the curriculum, and data-led initiatives which have led to better collaborative working across institutions.","[""Curriculum"",""EDI (inc. Social Mobility)"",""International & Global""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/8c6286b96_16-Phoenix170SocialMobilityMarch2024.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/546e24abe_Phoenixheader.png,2024-03-14T16:06:00.000Z,true,"[]","[]",,,,active,691dec623beb018b89896419,2025-11-19T16:12:18.835000,2025-11-19T16:12:18.835000,anonymous,anonymous,false
"AGCAS Phoenix, November 2023: The Future of Work","In this issue of Phoenix, we profile how member services are preparing students and graduates for careers of the future.","[""AI & Technology"",""Skills Development"",""Sustainability"",""Phoenix journal"",""Everyone""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/da737af60_17-PhoenixIssue169November2023.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/546e24abe_Phoenixheader.png,2023-11-19T16:13:00.000Z,true,"[]","[]",,,,active,691ded43cc27aad988e82396,2025-11-19T16:16:03.544000,2025-11-19T16:31:45.990000,anonymous,anonymous,false
"AGCAS Phoenix, July 2023: Sustainability","In this issue of Phoenix, we profile the role university careers services are playing in preparing students and graduates for sustainable career opportunities to meet the challenges of climate change. ","[""Careers Education"",""Skills Development"",""Sustainability"",""Phoenix journal"",""Everyone""]",download,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/ae189eb6c_18-Phoenix_Issue_168_July_2023.pdf,true,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/546e24abe_Phoenixheader.png,2023-07-01T15:17:00.000Z,true,"[]","[]",,,,active,691dee7afa26e38d01a1a25b,2025-11-19T16:21:14.521000,2025-11-19T16:31:25.515000,anonymous,anonymous,false
